EID	Peak_group	Elements	Proportion of elements
E013	Peaks in short LOCKs	3' UTR	1.26623067234947
E013	Peaks in short LOCKs	5' UTR	0.827429908026349
E013	Peaks in short LOCKs	exon	3.46040032947689
E013	Peaks in short LOCKs	Intergenic	42.9951908977225
E013	Peaks in short LOCKs	intron	38.9680413282506
E013	Peaks in short LOCKs	non-coding	1.611576747463
E013	Peaks in short LOCKs	promoter-TSS	9.04228333558487
E013	Peaks in short LOCKs	TTS	1.82884678112634
E013	Typical peaks	3' UTR	0.528382459358069
E013	Typical peaks	5' UTR	0.179363440763613
E013	Typical peaks	exon	0.962062209953232
E013	Typical peaks	Intergenic	56.914722363937
E013	Typical peaks	intron	38.2709850631628
E013	Typical peaks	non-coding	0.468009946568702
E013	Typical peaks	promoter-TSS	1.91320075387217
E013	Typical peaks	TTS	0.76327376238437
E012	Peaks in long LOCKs	3' UTR	1.43860623682051
E012	Peaks in long LOCKs	5' UTR	0.7904555332002
E012	Peaks in long LOCKs	exon	4.1216974001623
E012	Peaks in long LOCKs	Intergenic	42.1895351707708
E012	Peaks in long LOCKs	intron	36.8189568656659
E012	Peaks in long LOCKs	non-coding	1.21111881320509
E012	Peaks in long LOCKs	promoter-TSS	10.635653128098
E012	Peaks in long LOCKs	TTS	2.79397685207731
E012	Peaks in short LOCKs	3' UTR	0.806587579764837
E012	Peaks in short LOCKs	5' UTR	1.03272249096436
E012	Peaks in short LOCKs	exon	3.41063889451126
E012	Peaks in short LOCKs	Intergenic	40.1682131679648
E012	Peaks in short LOCKs	intron	40.2062454410032
E012	Peaks in short LOCKs	non-coding	2.65822834186658
E012	Peaks in short LOCKs	promoter-TSS	9.77977688599983
E012	Peaks in short LOCKs	TTS	1.93758719792515
E012	Typical peaks	3' UTR	0.810052710926109
E012	Typical peaks	5' UTR	1.80799458079937
E012	Typical peaks	exon	4.37389642312542
E012	Typical peaks	Intergenic	32.4704197814887
E012	Typical peaks	intron	40.7723137329242
E012	Typical peaks	non-coding	1.3431976301545
E012	Typical peaks	promoter-TSS	17.1410640250017
E012	Typical peaks	TTS	1.28106111558007
E011	Peaks in long LOCKs	3' UTR	1.10637087212116
E011	Peaks in long LOCKs	5' UTR	0.522199931877038
E011	Peaks in long LOCKs	exon	2.32241309668161
E011	Peaks in long LOCKs	Intergenic	51.0978739888667
E011	Peaks in long LOCKs	intron	38.0755243771812
E011	Peaks in long LOCKs	non-coding	0.956580790349606
E011	Peaks in long LOCKs	promoter-TSS	4.2254386137321
E011	Peaks in long LOCKs	TTS	1.69359832919062
E011	Peaks in short LOCKs	3' UTR	0.743642152240709
E011	Peaks in short LOCKs	5' UTR	0.651848761740957
E011	Peaks in short LOCKs	exon	2.18834941441607
E011	Peaks in short LOCKs	Intergenic	48.7432990739451
E011	Peaks in short LOCKs	intron	39.9248305196069
E011	Peaks in short LOCKs	non-coding	0.949095900356841
E011	Peaks in short LOCKs	promoter-TSS	5.2682350815794
E011	Peaks in short LOCKs	TTS	1.53069909611407
E011	Typical peaks	3' UTR	0.455478678537467
E011	Typical peaks	5' UTR	0.816806299453175
E011	Typical peaks	exon	2.2722315695314
E011	Typical peaks	Intergenic	50.8174030420146
E011	Typical peaks	intron	36.2510812229284
E011	Typical peaks	non-coding	0.998768024982031
E011	Typical peaks	promoter-TSS	7.34496106105601
E011	Typical peaks	TTS	1.04327010149696
E004	Peaks in long LOCKs	3' UTR	1.75146717458761
E004	Peaks in long LOCKs	5' UTR	0.825767691664096
E004	Peaks in long LOCKs	exon	4.43112079250317
E004	Peaks in long LOCKs	Intergenic	40.2365235797299
E004	Peaks in long LOCKs	intron	38.4299999436582
E004	Peaks in long LOCKs	non-coding	1.70714205729112
E004	Peaks in long LOCKs	promoter-TSS	9.65431866616522
E004	Peaks in long LOCKs	TTS	2.96366009440062
E004	Peaks in short LOCKs	3' UTR	1.42187892940542
E004	Peaks in short LOCKs	5' UTR	0.728004311119095
E004	Peaks in short LOCKs	exon	4.91841207113346
E004	Peaks in short LOCKs	Intergenic	36.9510328722831
E004	Peaks in short LOCKs	intron	38.1626728938387
E004	Peaks in short LOCKs	non-coding	1.48237830070056
E004	Peaks in short LOCKs	promoter-TSS	14.0074007544458
E004	Peaks in short LOCKs	TTS	2.32821986707383
E004	Typical peaks	3' UTR	0.463031530840558
E004	Typical peaks	5' UTR	1.54963158479368
E004	Typical peaks	exon	4.46974525662116
E004	Typical peaks	Intergenic	41.9897462616303
E004	Typical peaks	intron	39.625263814909
E004	Typical peaks	non-coding	0.939121569083802
E004	Typical peaks	promoter-TSS	10.2235880943439
E004	Typical peaks	TTS	0.739871887777502
E005	Peaks in long LOCKs	3' UTR	1.51212055022815
E005	Peaks in long LOCKs	5' UTR	1.28653292269319
E005	Peaks in long LOCKs	exon	5.89610917243564
E005	Peaks in long LOCKs	Intergenic	37.4855525759904
E005	Peaks in long LOCKs	intron	37.5473658851425
E005	Peaks in long LOCKs	non-coding	1.79763285218837
E005	Peaks in long LOCKs	promoter-TSS	11.7923825739779
E005	Peaks in long LOCKs	TTS	2.68230346734386
E005	Peaks in short LOCKs	3' UTR	1.2070523364919
E005	Peaks in short LOCKs	5' UTR	2.60351865430289
E005	Peaks in short LOCKs	exon	9.36431415545472
E005	Peaks in short LOCKs	Intergenic	24.832893037142
E005	Peaks in short LOCKs	intron	38.7592977218351
E005	Peaks in short LOCKs	non-coding	2.31091318828501
E005	Peaks in short LOCKs	promoter-TSS	18.8955004630467
E005	Peaks in short LOCKs	TTS	2.02651044344161
E005	Typical peaks	3' UTR	0.643452791738647
E005	Typical peaks	5' UTR	1.55187064148735
E005	Typical peaks	exon	4.00509536820981
E005	Typical peaks	Intergenic	46.4887918154909
E005	Typical peaks	intron	36.4064649700824
E005	Typical peaks	non-coding	1.10271570712273
E005	Typical peaks	promoter-TSS	8.94163232071264
E005	Typical peaks	TTS	0.859976385155454
E006	Peaks in long LOCKs	3' UTR	1.44619777627489
E006	Peaks in long LOCKs	5' UTR	0.268251737751401
E006	Peaks in long LOCKs	exon	2.04299273272913
E006	Peaks in long LOCKs	Intergenic	47.3288945091968
E006	Peaks in long LOCKs	intron	40.5691015285262
E006	Peaks in long LOCKs	non-coding	1.26611017167117
E006	Peaks in long LOCKs	promoter-TSS	4.85554605946213
E006	Peaks in long LOCKs	TTS	2.22290548438828
E006	Peaks in short LOCKs	3' UTR	1.37920508475574
E006	Peaks in short LOCKs	5' UTR	0.772492049487715
E006	Peaks in short LOCKs	exon	3.25233745771549
E006	Peaks in short LOCKs	Intergenic	42.6374572486813
E006	Peaks in short LOCKs	intron	39.0023748533856
E006	Peaks in short LOCKs	non-coding	1.21624723642446
E006	Peaks in short LOCKs	promoter-TSS	9.53949845353428
E006	Peaks in short LOCKs	TTS	2.20038761601537
E006	Typical peaks	3' UTR	0.61283710874081
E006	Typical peaks	5' UTR	0.18851063577954
E006	Typical peaks	exon	1.70716936169541
E006	Typical peaks	Intergenic	60.6784883640646
E006	Typical peaks	intron	32.7604498531329
E006	Typical peaks	non-coding	0.671820658445793
E006	Typical peaks	promoter-TSS	2.34241627393618
E006	Typical peaks	TTS	1.03830774420472
E062	Peaks in long LOCKs	3' UTR	0.961603446638612
E062	Peaks in long LOCKs	5' UTR	0.706252721559542
E062	Peaks in long LOCKs	exon	3.42498020230295
E062	Peaks in long LOCKs	Intergenic	49.0234253024407
E062	Peaks in long LOCKs	intron	36.6125559318805
E062	Peaks in long LOCKs	non-coding	1.20406107300809
E062	Peaks in long LOCKs	promoter-TSS	6.26570733742434
E062	Peaks in long LOCKs	TTS	1.80141398474529
E062	Peaks in short LOCKs	3' UTR	0.929303831766949
E062	Peaks in short LOCKs	5' UTR	1.93839624294982
E062	Peaks in short LOCKs	exon	6.29055220538619
E062	Peaks in short LOCKs	Intergenic	36.8368457610551
E062	Peaks in short LOCKs	intron	36.854768803973
E062	Peaks in short LOCKs	non-coding	1.7342161983892
E062	Peaks in short LOCKs	promoter-TSS	13.8188642073927
E062	Peaks in short LOCKs	TTS	1.59705274908704
E062	Typical peaks	3' UTR	0.424384473038419
E062	Typical peaks	5' UTR	1.09832405070156
E062	Typical peaks	exon	3.13538690340651
E062	Typical peaks	Intergenic	53.8167660286617
E062	Typical peaks	intron	32.3340294293207
E062	Typical peaks	non-coding	0.874737834166922
