EID	LOCK_length	TSG_OG_anno	exp	gene_number	gene_number_with_exp	group	MD_anno
E056	LOCK	OG	0.913230871113561	117	117	OG__Long_LOCK	commonHMD
E056	LOCK	TSG	1.00066908451834	168	164	TSG__Long_LOCK	commonHMD
E056	non-LOCK	OG	0.793231424547768	475	468	OG__outside_of_LOCK	commonHMD
E056	non-LOCK	TSG	0.821677227802614	699	692	TSG__outside_of_LOCK	commonHMD
E057	LOCK	OG	0.927266342186034	175	174	OG__Long_LOCK	commonHMD
E057	LOCK	TSG	1.07138151979158	257	254	TSG__Long_LOCK	commonHMD
E057	non-LOCK	OG	0.736237098904729	425	419	OG__outside_of_LOCK	commonHMD
E057	non-LOCK	TSG	0.760874638052189	617	609	TSG__outside_of_LOCK	commonHMD
E058	LOCK	OG	1.0849260382346	182	180	OG__Long_LOCK	commonHMD
E058	LOCK	TSG	1.12629378947941	252	248	TSG__Long_LOCK	commonHMD
E058	non-LOCK	OG	1.03806352699786	414	409	OG__outside_of_LOCK	commonHMD
E058	non-LOCK	TSG	1.03754601208583	624	617	TSG__outside_of_LOCK	commonHMD
E059	LOCK	OG	0.692611301243474	38	38	OG__Long_LOCK	commonHMD
E059	LOCK	TSG	0.963332107367663	68	66	TSG__Long_LOCK	commonHMD
E059	non-LOCK	OG	0.700617195682057	562	555	OG__outside_of_LOCK	commonHMD
E059	non-LOCK	TSG	0.675914883187549	809	800	TSG__outside_of_LOCK	commonHMD
E061	LOCK	OG	1.01072386539177	150	149	OG__Long_LOCK	commonHMD
E061	LOCK	TSG	0.945000498879424	229	224	TSG__Long_LOCK	commonHMD
E061	non-LOCK	OG	0.953469743253401	449	443	OG__outside_of_LOCK	commonHMD
E061	non-LOCK	TSG	0.925774705984939	650	644	TSG__outside_of_LOCK	commonHMD
E062	LOCK	OG	0.910304168068569	203	201	OG__Long_LOCK	commonHMD
E062	LOCK	TSG	0.928549467001664	267	263	TSG__Long_LOCK	commonHMD
E062	non-LOCK	OG	1.0315700321411	398	393	OG__outside_of_LOCK	commonHMD
E062	non-LOCK	TSG	1.10998087531192	613	606	TSG__outside_of_LOCK	commonHMD
E065	LOCK	OG	0.967875445548033	121	119	OG__Long_LOCK	commonHMD
E065	LOCK	TSG	0.969672050891049	144	142	TSG__Long_LOCK	commonHMD
E065	non-LOCK	OG	0.915083101651201	484	479	OG__outside_of_LOCK	commonHMD
E065	non-LOCK	TSG	0.887333650242162	735	726	TSG__outside_of_LOCK	commonHMD
E066	LOCK	OG	0.593300904380768	81	78	OG__Long_LOCK	commonHMD
E066	LOCK	TSG	0.668696082549151	105	104	TSG__Long_LOCK	commonHMD
E066	non-LOCK	OG	0.811809513889691	522	518	OG__outside_of_LOCK	commonHMD
E066	non-LOCK	TSG	0.781431796237014	774	764	TSG__outside_of_LOCK	commonHMD
E070	LOCK	OG	1.01903251941509	160	160	OG__Long_LOCK	commonHMD
E070	LOCK	TSG	1.11717182751427	250	245	TSG__Long_LOCK	commonHMD
E070	non-LOCK	OG	0.987218840681013	439	432	OG__outside_of_LOCK	commonHMD
E070	non-LOCK	TSG	0.989402682251915	620	614	TSG__outside_of_LOCK	commonHMD
E071	LOCK	OG	0.802020751771976	60	59	OG__Long_LOCK	commonHMD
E071	LOCK	TSG	0.948901760970214	91	89	TSG__Long_LOCK	commonHMD
E071	non-LOCK	OG	1.01103830554402	536	530	OG__outside_of_LOCK	commonHMD
E071	non-LOCK	TSG	1.00412261259645	785	776	TSG__outside_of_LOCK	commonHMD
E079	LOCK	OG	1.01581965711623	204	202	OG__Long_LOCK	commonHMD
E079	LOCK	TSG	0.958516103423041	253	249	TSG__Long_LOCK	commonHMD
E079	non-LOCK	OG	0.970811610872518	400	395	OG__outside_of_LOCK	commonHMD
E079	non-LOCK	TSG	0.969252787675787	627	620	TSG__outside_of_LOCK	commonHMD
E082	LOCK	OG	0.972341716325748	95	95	OG__Long_LOCK	commonHMD
E082	LOCK	TSG	0.961848059018324	152	149	TSG__Long_LOCK	commonHMD
E082	non-LOCK	OG	0.977723605288848	504	497	OG__outside_of_LOCK	commonHMD
E082	non-LOCK	TSG	0.974694795934543	720	712	TSG__outside_of_LOCK	commonHMD
E084	LOCK	OG	1.09073749206301	122	120	OG__Long_LOCK	commonHMD
E084	LOCK	TSG	1.08454053206148	193	191	TSG__Long_LOCK	commonHMD
E084	non-LOCK	OG	1.10136896324925	480	475	OG__outside_of_LOCK	commonHMD
E084	non-LOCK	TSG	1.10436456583302	681	672	TSG__outside_of_LOCK	commonHMD
E085	LOCK	OG	1.10907208097888	134	133	OG__Long_LOCK	commonHMD
E085	LOCK	TSG	1.03836816003302	194	190	TSG__Long_LOCK	commonHMD
E085	non-LOCK	OG	1.09293098508523	464	458	OG__outside_of_LOCK	commonHMD
E085	non-LOCK	TSG	1.11003382222275	677	670	TSG__outside_of_LOCK	commonHMD
E087	LOCK	OG	0.930359966932399	62	60	OG__Long_LOCK	commonHMD
E087	LOCK	TSG	1.00616642548543	75	73	TSG__Long_LOCK	commonHMD
E087	non-LOCK	OG	1.02530159610341	543	538	OG__outside_of_LOCK	commonHMD
E087	non-LOCK	TSG	1.01982177821093	805	796	TSG__outside_of_LOCK	commonHMD
E094	LOCK	OG	0.949048292315664	345	343	OG__Long_LOCK	commonHMD
E094	LOCK	TSG	0.956072336995183	493	487	TSG__Long_LOCK	commonHMD
E094	non-LOCK	OG	0.966329495163878	260	255	OG__outside_of_LOCK	commonHMD
E094	non-LOCK	TSG	0.948804045932811	388	383	TSG__outside_of_LOCK	commonHMD
E095	LOCK	OG	0.679518743695789	42	41	OG__Long_LOCK	commonHMD
E095	LOCK	TSG	0.874829577879722	50	49	TSG__Long_LOCK	commonHMD
E095	non-LOCK	OG	0.921738331113041	560	554	OG__outside_of_LOCK	commonHMD
E095	non-LOCK	TSG	0.881555829793312	827	817	TSG__outside_of_LOCK	commonHMD
E096	LOCK	OG	1.06740565843782	83	83	OG__Long_LOCK	commonHMD
E096	LOCK	TSG	1.09127996422884	105	103	TSG__Long_LOCK	commonHMD
E096	non-LOCK	OG	0.988313497640224	519	512	OG__outside_of_LOCK	commonHMD
E096	non-LOCK	TSG	0.985067033150501	774	765	TSG__outside_of_LOCK	commonHMD
E097	LOCK	OG	0.954155635848434	173	170	OG__Long_LOCK	commonHMD
E097	LOCK	TSG	0.992654765587473	220	218	TSG__Long_LOCK	commonHMD
E097	non-LOCK	OG	1.03068005314423	430	426	OG__outside_of_LOCK	commonHMD
E097	non-LOCK	TSG	1.03159018588281	661	652	TSG__outside_of_LOCK	commonHMD
E098	LOCK	OG	0.858777737305449	302	299	OG__Long_LOCK	commonHMD
E098	LOCK	TSG	0.840670561333409	409	403	TSG__Long_LOCK	commonHMD
E098	non-LOCK	OG	0.955591550405724	303	299	OG__outside_of_LOCK	commonHMD
E098	non-LOCK	TSG	0.988825398858262	472	468	TSG__outside_of_LOCK	commonHMD
E100	LOCK	OG	0.756407872548958	144	143	OG__Long_LOCK	commonHMD
E100	LOCK	TSG	0.800648355363988	160	157	TSG__Long_LOCK	commonHMD
E100	non-LOCK	OG	0.947874652137088	460	454	OG__outside_of_LOCK	commonHMD
E100	non-LOCK	TSG	0.945270463944075	716	708	TSG__outside_of_LOCK	commonHMD
E104	LOCK	OG	0.852418992937001	129	127	OG__Long_LOCK	commonHMD
E104	LOCK	TSG	0.863709338799655	192	190	TSG__Long_LOCK	commonHMD
E104	non-LOCK	OG	0.912806392661292	474	469	OG__outside_of_LOCK	commonHMD
E104	non-LOCK	TSG	0.88519153692241	689	680	TSG__outside_of_LOCK	commonHMD
E105	LOCK	OG	0.860546817795468	24	24	OG__Long_LOCK	commonHMD
E105	LOCK	TSG	0.976057556468242	33	32	TSG__Long_LOCK	commonHMD
E105	non-LOCK	OG	0.889749717537594	577	570	OG__outside_of_LOCK	commonHMD
E105	non-LOCK	TSG	0.873843533223436	843	833	TSG__outside_of_LOCK	commonHMD
E106	LOCK	OG	0.940575339832188	156	154	OG__Long_LOCK	commonHMD
E106	LOCK	TSG	0.981818607170664	216	213	TSG__Long_LOCK	commonHMD
E106	non-LOCK	OG	0.989583143507536	445	440	OG__outside_of_LOCK	commonHMD
E106	non-LOCK	TSG	0.981138773166587	658	650	TSG__outside_of_LOCK	commonHMD
E109	LOCK	OG	0.918764031027999	114	113	OG__Long_LOCK	commonHMD
E109	LOCK	TSG	0.943449187895877	153	150	TSG__Long_LOCK	commonHMD
E109	non-LOCK	OG	0.988821569533865	486	480	OG__outside_of_LOCK	commonHMD
E109	non-LOCK	TSG	0.974598400112413	720	712	TSG__outside_of_LOCK	commonHMD
E112	LOCK	OG	1.08062648692181	205	203	OG__Long_LOCK	commonHMD
E112	LOCK	TSG	1.10253374137923	309	306	TSG__Long_LOCK	commonHMD
E112	non-LOCK	OG	1.06762787542339	397	392	OG__outside_of_LOCK	commonHMD
E112	non-LOCK	TSG	1.08689326173899	572	564	TSG__outside_of_LOCK	commonHMD
E113	LOCK	OG	1.01178183054811	225	225	OG__Long_LOCK	commonHMD
E113	LOCK	TSG	1.04169988902227	278	274	TSG__Long_LOCK	commonHMD
E113	non-LOCK	OG	0.987733114502073	379	372	OG__outside_of_LOCK	commonHMD
E113	non-LOCK	TSG	0.97813484739829	604	597	TSG__outside_of_LOCK	commonHMD
E116	LOCK	OG	1.00817798586559	311	308	OG__Long_LOCK	commonHMD
E116	LOCK	TSG	1.01046758122791	479	472	TSG__Long_LOCK	commonHMD
E116	non-LOCK	OG	1.13212836494305	294	290	OG__outside_of_LOCK	commonHMD
E116	non-LOCK	TSG	1.13187289757128	404	400	TSG__outside_of_LOCK	commonHMD
E119	LOCK	OG	0.936111431674854	235	233	OG__Long_LOCK	commonHMD
E119	LOCK	TSG	0.947870014263246	340	336	TSG__Long_LOCK	commonHMD
E119	non-LOCK	OG	0.940864975966722	370	365	OG__outside_of_LOCK	commonHMD
E119	non-LOCK	TSG	0.946992340748372	542	535	TSG__outside_of_LOCK	commonHMD
E120	LOCK	OG	0.935708747842663	234	233	OG__Long_LOCK	commonHMD
E120	LOCK	TSG	0.925260509519435	335	331	TSG__Long_LOCK	commonHMD
E120	non-LOCK	OG	0.989893462657086	370	364	OG__outside_of_LOCK	commonHMD
E120	non-LOCK	TSG	0.96940401000788	547	540	TSG__outside_of_LOCK	commonHMD
E122	LOCK	OG	0.861772886317955	219	218	OG__Long_LOCK	commonHMD
E122	LOCK	TSG	0.849695506868407	318	314	TSG__Long_LOCK	commonHMD
E122	non-LOCK	OG	0.891091226467724	383	377	OG__outside_of_LOCK	commonHMD
E122	non-LOCK	TSG	0.843730965112092	560	553	TSG__outside_of_LOCK	commonHMD
E127	LOCK	OG	0.905790559060145	129	128	OG__Long_LOCK	commonHMD
E127	LOCK	TSG	0.901155537507477	183	180	TSG__Long_LOCK	commonHMD
E127	non-LOCK	OG	1.03955229315307	464	458	OG__outside_of_LOCK	commonHMD
E127	non-LOCK	TSG	1.00339589533542	686	678	TSG__outside_of_LOCK	commonHMD
E128	LOCK	OG	0.872104141763641	188	186	OG__Long_LOCK	commonHMD
E128	LOCK	TSG	0.932196511174598	296	294	TSG__Long_LOCK	commonHMD
E128	non-LOCK	OG	1.05990405588441	412	407	OG__outside_of_LOCK	commonHMD
E128	non-LOCK	TSG	0.978682565156945	580	571	TSG__outside_of_LOCK	commonHMD
