group	size_bp	percent	EID
H3K9me3 only	56020913	2.07484862962963	E057
H3K27me3 only	81685844	3.02540162962963	E058
both	3619085	0.134040185185185	E058
H3K9me3 only	101919252	3.77478711111111	E058
H3K27me3 only	71758693	2.65772937037037	E028
both	651511	0.024130037037037	E028
H3K9me3 only	96112678	3.55972881481481	E028
H3K27me3 only	61202314	2.26675237037037	E027
both	9866795	0.365436851851852	E027
H3K9me3 only	94941862	3.51636525925926	E027
H3K27me3 only	20107521	0.744723	E054
both	656147	0.0243017407407407	E054
H3K9me3 only	39574896	1.46573688888889	E054
H3K27me3 only	48356752	1.79099081481481	E053
both	1566606	0.0580224444444444	E053
H3K9me3 only	57005242	2.11130525925926	E053
H3K27me3 only	25000409	0.925941074074074	E112
both	250926	0.00929355555555555	E112
H3K9me3 only	3591671	0.133024851851852	E112
H3K27me3 only	47334963	1.75314677777778	E093
both	4091991	0.151555222222222	E093
H3K9me3 only	62666399	2.32097774074074	E093
H3K27me3 only	58164504	2.15424088888889	E071
both	1135810	0.042067037037037	E071
H3K9me3 only	53454189	1.97978477777778	E071
H3K27me3 only	28643255	1.0608612962963	E074
both	475939	0.0176273703703704	E074
H3K9me3 only	36713649	1.35976477777778	E074
H3K27me3 only	13789025	0.51070462962963	E068
both	349638	0.0129495555555556	E068
H3K9me3 only	47287115	1.75137462962963	E068
H3K27me3 only	32903723	1.21865640740741	E069
both	405499	0.0150184814814815	E069
H3K9me3 only	28937102	1.07174451851852	E069
H3K27me3 only	39090384	1.447792	E072
both	1079367	0.0399765555555556	E072
H3K9me3 only	43097955	1.59622055555556	E072
H3K27me3 only	42435124	1.57167125925926	E067
both	631375	0.0233842592592593	E067
H3K9me3 only	22810443	0.844831222222222	E067
H3K27me3 only	44833462	1.66049859259259	E073
both	1315594	0.0487257037037037	E073
H3K9me3 only	29196788	1.08136251851852	E073
H3K27me3 only	49466880	1.83210666666667	E070
both	1340477	0.0496472962962963	E070
H3K9me3 only	45323227	1.67863803703704	E070
H3K27me3 only	47573119	1.76196737037037	E082
both	707075	0.026187962962963	E082
H3K9me3 only	42994414	1.5923857037037	E082
H3K27me3 only	45561823	1.68747492592593	E081
both	167739	0.00621255555555556	E081
H3K9me3 only	4232647	0.156764703703704	E081
H3K27me3 only	61437172	2.27545081481481	E063
both	1967254	0.0728612592592593	E063
H3K9me3 only	63932149	2.36785737037037	E063
