EID	MD_anno	TSG_OG_anno	OgOrTsgToAllGenes
E054	common PMD	OG	0.0479942693409742
E054	common PMD	TSG	0.0250716332378223
E055	common PMD	OG	0.0468110005851375
E055	common PMD	TSG	0.0257460503218256
E056	common PMD	OG	0.0427606901725431
E056	common PMD	TSG	0.0255063765941485
E057	common PMD	OG	0.0493827160493827
E057	common PMD	TSG	0.0201429499675114
E058	common PMD	OG	0.0611278519156263
E058	common PMD	TSG	0.0241067585019372
E059	common PMD	OG	0.0542570951585977
E059	common PMD	TSG	0.0208681135225376
E061	common PMD	OG	0.0691259554669325
E061	common PMD	TSG	0.0285809238949817
E062	common PMD	OG	0.0580168776371308
E062	common PMD	TSG	0.0249648382559775
E065	common PMD	OG	0.070976253298153
E065	common PMD	TSG	0.0308707124010554
E066	common PMD	OG	0.0704365079365079
E066	common PMD	TSG	0.0284391534391534
E070	common PMD	OG	0.0529595015576324
E070	common PMD	TSG	0.0261682242990654
E071	common PMD	OG	0.0534808667588751
E071	common PMD	TSG	0.0221300138312586
E079	common PMD	OG	0.0615079365079365
E079	common PMD	TSG	0.0228174603174603
E082	common PMD	OG	0.0571428571428571
E082	common PMD	TSG	0.0285714285714286
E084	common PMD	OG	0.0528910802330793
E084	common PMD	TSG	0.024652622142537
E085	common PMD	OG	0.0589464882943144
E085	common PMD	TSG	0.0238294314381271
E087	common PMD	OG	0.0602409638554217
E087	common PMD	TSG	0.0240963855421687
E094	common PMD	OG	0.0740329035126723
E094	common PMD	TSG	0.0302356602934638
E095	common PMD	OG	0.0661596958174905
E095	common PMD	TSG	0.0250950570342205
E096	common PMD	OG	0.0587711487088157
E096	common PMD	TSG	0.0218165627782725
E097	common PMD	OG	0.0625
E097	common PMD	TSG	0.0279696132596685
E098	common PMD	OG	0.076341290475065
E098	common PMD	TSG	0.0323800519971638
E100	common PMD	OG	0.0575936883629191
E100	common PMD	TSG	0.0236686390532544
E104	common PMD	OG	0.0673033196907685
E104	common PMD	TSG	0.0272851296043656
E105	common PMD	OG	0.0556597873671044
E105	common PMD	TSG	0.0231394621638524
E106	common PMD	OG	0.0599022004889976
E106	common PMD	TSG	0.0259779951100245
E109	common PMD	OG	0.0580013976240391
E109	common PMD	TSG	0.0241090146750524
E112	common PMD	OG	0.0433950223356733
E112	common PMD	TSG	0.0216975111678366
E113	common PMD	OG	0.056490834268612
E113	common PMD	TSG	0.0239431350542462
E116	common PMD	OG	0.0589692765113974
E116	common PMD	TSG	0.0287413280475719
E119	common PMD	OG	0.0711053652230123
E119	common PMD	TSG	0.0297349709114415
E120	common PMD	OG	0.0601535836177474
E120	common PMD	TSG	0.0285836177474403
E122	common PMD	OG	0.0639312977099237
E122	common PMD	TSG	0.0324427480916031
E127	common PMD	OG	0.0580046403712297
E127	common PMD	TSG	0.0255220417633411
E128	common PMD	OG	0.0499679692504805
E128	common PMD	TSG	0.0288276745675849
E004	S	OG	0.0481283422459893
E004	S	TSG	0.0249554367201426
E005	S	OG	0.0420248328557784
E005	S	TSG	0.0219675262655205
E006	S	OG	0.0472673559822747
E006	S	TSG	0.0162481536189069
E007	S	OG	0.0468253968253968
E007	S	TSG	0.026984126984127
E011	S	OG	0.0478723404255319
E011	S	TSG	0.0297872340425532
E012	S	OG	0.0460992907801418
E012	S	TSG	0.024822695035461
E013	S	OG	0.0514233241505969
E013	S	TSG	0.0257116620752984
E027	S	OG	0.0496031746031746
E027	S	TSG	0.0238095238095238
E028	S	OG	0.0486322188449848
E028	S	TSG	0.027355623100304
E037	S	OG	0.0504731861198738
E037	S	TSG	0.029179810725552
E038	S	OG	0.0535861500412201
E038	S	TSG	0.0305028854080791
E047	S	OG	0.0536912751677852
E047	S	TSG	0.0285234899328859
E050	S	OG	0.0348675034867503
E050	S	TSG	0.0153417015341702
E053	S	OG	0.0434782608695652
E053	S	TSG	0.0237154150197628
E054	S	OG	0.0452127659574468
E054	S	TSG	0.0252659574468085
E055	S	OG	0.0415057915057915
E055	S	TSG	0.027992277992278
E056	S	OG	0.0391923990498812
E056	S	TSG	0.0237529691211401
E057	S	OG	0.0421994884910486
E057	S	TSG	0.0191815856777494
E058	S	OG	0.0473157415832575
E058	S	TSG	0.0263876251137398
E059	S	OG	0.0482529118136439
E059	S	TSG	0.0199667221297837
E061	S	OG	0.0522682445759369
E061	S	TSG	0.0285996055226824
E062	S	OG	0.0540997464074387
E062	S	TSG	0.0236686390532544
E065	S	OG	0.053134962805526
E065	S	TSG	0.0350690754516472
E066	S	OG	0.0479825517993457
E066	S	TSG	0.0283533260632497
E070	S	OG	0.0506329113924051
E070	S	TSG	0.0253164556962025
E071	S	OG	0.0481522956326988
E071	S	TSG	0.0268756998880179
E079	S	OG	0.051063829787234
E079	S	TSG	0.0246808510638298
E082	S	OG	0.0482954545454545
E082	S	TSG	0.0269886363636364
E084	S	OG	0.0427860696517413
E084	S	TSG	0.0258706467661692
E085	S	OG	0.0526802218114603
E085	S	TSG	0.0240295748613678
E087	S	OG	0.0399467376830892
E087	S	TSG	0.0226364846870839
E094	S	OG	0.0511841100076394
E094	S	TSG	0.0297937356760886
E095	S	OG	0.0521945432977461
E095	S	TSG	0.0260972716488731
E096	S	OG	0.0473988439306358
E096	S	TSG	0.0196531791907514
E097	S	OG	0.0392156862745098
E097	S	TSG	0.0274509803921569
E098	S	OG	0.0588744588744589
E098	S	TSG	0.0303030303030303
E100	S	OG	0.0448521916411825
E100	S	TSG	0.0285423037716616
E104	S	OG	0.0468521229868228
E104	S	TSG	0.0292825768667643
E105	S	OG	0.0523076923076923
E105	S	TSG	0.0215384615384615
E106	S	OG	0.0514522821576763
E106	S	TSG	0.0282157676348548
E109	S	OG	0.04828797190518
E109	S	TSG	0.0263388937664618
