EID	Peak_group	Expresion_of_nearest_genes	number
E104	Peaks in short LOCKs	-0.573488738635425	254
E104	Typical peaks	-0.079095099112837	1679
E105	Peaks in long LOCKs	-0.577575099596681	3376
E105	Peaks in short LOCKs	-0.404503778174426	921
E105	Typical peaks	0.325925955771466	5841
E106	Peaks in long LOCKs	0.334956104528192	8642
E106	Peaks in short LOCKs	0.384353414137506	812
E106	Typical peaks	0.675961549642169	4272
E109	Peaks in long LOCKs	0.272421810888662	7338
E109	Peaks in short LOCKs	0.343703831430509	918
E109	Typical peaks	0.659298031405474	4406
E112	Peaks in long LOCKs	0.455680666493209	4828
E112	Peaks in short LOCKs	0.324076579739486	407
E112	Typical peaks	0.390316687504711	2777
E113	Peaks in long LOCKs	0.237794993273923	6768
E113	Peaks in short LOCKs	-0.0721165896692931	340
E113	Typical peaks	0.488761205887567	4390
E116	Peaks in long LOCKs	-0.876148359032914	3945
E116	Peaks in short LOCKs	-0.939367847385209	146
E116	Typical peaks	-0.832682665251824	1380
E119	Peaks in long LOCKs	-0.644932851829738	7892
E119	Peaks in short LOCKs	-0.835647144215563	651
E119	Typical peaks	0.468051162540082	2465
E120	Peaks in long LOCKs	-0.560667306169737	7106
E120	Peaks in short LOCKs	-0.676758926480097	694
E120	Typical peaks	0.295676352405794	2251
E122	Peaks in long LOCKs	-0.45531241959195	7551
E122	Peaks in short LOCKs	-0.366531544420413	1281
E122	Typical peaks	0.310693312343361	1983
E127	Peaks in long LOCKs	-0.503070351926785	7127
E127	Peaks in short LOCKs	-0.612610173661271	1051
E127	Typical peaks	0.436798510231803	3444
E128	Peaks in long LOCKs	-0.468521082957745	6774
E128	Peaks in short LOCKs	-0.570247719997592	1036
E128	Typical peaks	0.470998144843375	2678
