EID	Peak_group	Peak_intensity
E112	Peaks in long LOCKs	3.203945725
E112	Peaks in short LOCKs	3.4231001
E112	Typical peaks	3.16030445
E093	Peaks in long LOCKs	3.12586185
E093	Peaks in short LOCKs	3.24842105
E093	Typical peaks	2.95910365
E071	Peaks in long LOCKs	3.30418035
E071	Peaks in short LOCKs	3.3678822
E071	Typical peaks	3.03666585
E074	Peaks in long LOCKs	2.9590281
E074	Peaks in short LOCKs	3.00557995
E074	Typical peaks	2.75611945
E068	Peaks in long LOCKs	3.936568325
E068	Peaks in short LOCKs	4.02197615
E068	Typical peaks	3.6568861
E069	Peaks in long LOCKs	3.83730225
E069	Peaks in short LOCKs	3.983368575
E069	Typical peaks	3.52514365
E072	Peaks in long LOCKs	3.3190334
E072	Peaks in short LOCKs	3.438442375
E072	Typical peaks	3.0866361
E067	Peaks in long LOCKs	2.92215135
E067	Peaks in short LOCKs	2.9761321
E067	Typical peaks	2.70953865
E073	Peaks in long LOCKs	2.9853552
E073	Peaks in short LOCKs	3.0344554
E073	Typical peaks	2.82547495
E070	Peaks in long LOCKs	3.155108
E070	Peaks in short LOCKs	3.284017025
E070	Typical peaks	3.01789445
E082	Peaks in long LOCKs	3.59900085
E082	Peaks in short LOCKs	3.6907467
E082	Typical peaks	3.1564359
E081	Peaks in long LOCKs	3.0637432
E081	Peaks in short LOCKs	3.190227425
E081	Typical peaks	2.7711213
E063	Peaks in long LOCKs	3.3343038
E063	Peaks in short LOCKs	3.40165075
E063	Typical peaks	2.992309075
E100	Peaks in long LOCKs	2.774184475
E100	Peaks in short LOCKs	2.921430025
E100	Typical peaks	2.5510261
E108	Peaks in long LOCKs	3.14196445
E108	Peaks in short LOCKs	3.2258445
E108	Typical peaks	2.83099065
E107	Peaks in long LOCKs	3.39799555
E107	Peaks in short LOCKs	3.4975684
E107	Typical peaks	3.006487675
E089	Peaks in long LOCKs	4.24324665
E089	Peaks in short LOCKs	4.413497175
E089	Typical peaks	3.563038375
E090	Peaks in long LOCKs	2.99536405
E090	Peaks in short LOCKs	3.2553535
E090	Typical peaks	2.589514075
E083	Peaks in long LOCKs	3.3529365
E083	Peaks in short LOCKs	3.49864905
E083	Typical peaks	2.87904635
E104	Peaks in long LOCKs	3.0916566
E104	Peaks in short LOCKs	3.0914268
E104	Typical peaks	3.108176325
E095	Peaks in long LOCKs	3.14443405
E095	Peaks in short LOCKs	3.210605425
E095	Typical peaks	2.905928525
E105	Peaks in long LOCKs	2.70837765
E105	Peaks in short LOCKs	2.67679775
E105	Typical peaks	2.34589155
E065	Peaks in long LOCKs	2.6323293
E065	Peaks in short LOCKs	2.64123165
E065	Typical peaks	2.5181408
E078	Peaks in long LOCKs	3.3957324
E078	Peaks in short LOCKs	3.546261775
E078	Typical peaks	3.043726675
E076	Peaks in long LOCKs	3.22460305
E076	Peaks in short LOCKs	3.462057
E076	Typical peaks	2.9996945
E103	Peaks in long LOCKs	2.91240395
E103	Peaks in short LOCKs	2.962727225
E103	Typical peaks	2.6874942
E111	Peaks in long LOCKs	3.6066584
E111	Peaks in short LOCKs	3.7021859
E111	Typical peaks	3.24156935
E092	Peaks in long LOCKs	3.68222755
E092	Peaks in short LOCKs	3.7847847
E092	Typical peaks	3.2047618
E085	Peaks in long LOCKs	2.8925812
E085	Peaks in short LOCKs	3.12428745
E085	Typical peaks	2.681305175
E084	Peaks in long LOCKs	3.47639675
E084	Peaks in short LOCKs	3.6629502
E084	Typical peaks	3.094637375
E109	Peaks in long LOCKs	3.0359127
E109	Peaks in short LOCKs	3.1502191
E109	Typical peaks	2.849716125
E106	Peaks in long LOCKs	3.1537601
E106	Peaks in short LOCKs	3.2548546
E106	Typical peaks	3.03005295
E075	Peaks in long LOCKs	2.9402485
E075	Peaks in short LOCKs	3.0019873
E075	Typical peaks	2.6969594
E101	Peaks in long LOCKs	2.694233725
E101	Peaks in short LOCKs	2.77833675
E101	Typical peaks	2.47844525
E102	Peaks in long LOCKs	3.11052515
E102	Peaks in short LOCKs	3.2328519
E102	Typical peaks	2.7985715
E110	Peaks in long LOCKs	3.175198075
E110	Peaks in short LOCKs	3.30657455
E110	Typical peaks	2.89310775
E077	Peaks in long LOCKs	3.098447975
E077	Peaks in short LOCKs	3.2101702
E077	Typical peaks	2.7764001
E079	Peaks in long LOCKs	2.844577175
E079	Peaks in short LOCKs	2.9420362
E079	Typical peaks	2.7030616
E094	Peaks in long LOCKs	2.6769476
E094	Peaks in short LOCKs	2.6768505
E094	Typical peaks	2.6944742
E099	Peaks in long LOCKs	3.51012565
E099	Peaks in short LOCKs	3.79984145
E099	Typical peaks	3.1155486
E086	Peaks in long LOCKs	3.27492935
E086	Peaks in short LOCKs	3.4520253
E086	Typical peaks	2.815473825
E088	Peaks in long LOCKs	3.470711
E088	Peaks in short LOCKs	3.6103878
E088	Typical peaks	3.060683225
E097	Peaks in long LOCKs	2.878715275
E097	Peaks in short LOCKs	2.8906256
E097	Typical peaks	2.76411865
E087	Peaks in long LOCKs	2.95192885
E087	Peaks in short LOCKs	3.04204595
E087	Typical peaks	2.63449575
E080	Peaks in long LOCKs	4.7649874
E080	Peaks in short LOCKs	4.4384435
E080	Typical peaks	3.759819125
E091	Peaks in long LOCKs	3.637650875
E091	Peaks in short LOCKs	3.8494645
E091	Typical peaks	3.28606475
E066	Peaks in long LOCKs	3.952024675
E066	Peaks in short LOCKs	4.019122625
E066	Typical peaks	3.826187475
E098	Peaks in long LOCKs	2.8723971
E098	Peaks in short LOCKs	2.88886175
E098	Typical peaks	2.882817525
E096	Peaks in long LOCKs	2.6850638
E096	Peaks in short LOCKs	2.7341692
E096	Typical peaks	2.58091445
E113	Peaks in long LOCKs	2.7569687
E113	Peaks in short LOCKs	2.851275675
E113	Typical peaks	2.7181502
E116	Peaks in long LOCKs	2.70545975
E116	Peaks in short LOCKs	2.83060085
E116	Typical peaks	2.6673576
E119	Peaks in long LOCKs	2.707639
E119	Peaks in short LOCKs	2.785362
E119	Typical peaks	2.55452115
E120	Peaks in long LOCKs	2.863255525
E120	Peaks in short LOCKs	2.921042525
E120	Typical peaks	2.6202965
E121	Peaks in long LOCKs	3.0924095
E121	Peaks in short LOCKs	3.133185375
E121	Typical peaks	2.76017605
E122	Peaks in long LOCKs	3.5215376
E122	Peaks in short LOCKs	3.60992305
E122	Typical peaks	3.214678025
E124	Peaks in long LOCKs	3.123446025
E124	Peaks in short LOCKs	3.2009296
E124	Typical peaks	2.9194166
E125	Peaks in long LOCKs	2.9930562
E125	Peaks in short LOCKs	3.0267243
E125	Typical peaks	2.6991174
E126	Peaks in long LOCKs	3.26995615
E126	Peaks in short LOCKs	3.359561275
E126	Typical peaks	3.087505075
E127	Peaks in long LOCKs	2.921908975
E127	Peaks in short LOCKs	2.9376969
E127	Typical peaks	2.45313225
E128	Peaks in long LOCKs	3.24936315
E128	Peaks in short LOCKs	3.31308215
E128	Typical peaks	2.98740775
E129	Peaks in long LOCKs	3.020856075
E129	Peaks in short LOCKs	3.05232505
E129	Typical peaks	2.6429474
