EID	group	MD_anno	gene_density
E072	Long LOCKs	common HMDs	12.0907289799181
E067	Long LOCKs	common PMDs	7.50715854368903
E067	Long LOCKs	common HMDs	12.6321555662769
E073	Long LOCKs	common PMDs	7.87913791703876
E073	Long LOCKs	common HMDs	16.5024374909126
E070	Long LOCKs	common PMDs	10.968413369482
E070	Long LOCKs	common HMDs	26.3774756959453
E082	Long LOCKs	common PMDs	10.8926915843122
E082	Long LOCKs	common HMDs	27.7700704847332
E081	Long LOCKs	common PMDs	9.8170032314121
E081	Long LOCKs	common HMDs	24.5500835764041
E063	Long LOCKs	common PMDs	8.5777053885514
E063	Long LOCKs	common HMDs	18.5004309665891
E100	Long LOCKs	common PMDs	7.35005667094115
E100	Long LOCKs	common HMDs	16.4045575020479
E108	Long LOCKs	common PMDs	8.95941826225135
E108	Long LOCKs	common HMDs	24.2527816753976
E107	Long LOCKs	common PMDs	8.2892303343936
E107	Long LOCKs	common HMDs	20.0972310048005
E089	Long LOCKs	common PMDs	9.48378582053299
E089	Long LOCKs	common HMDs	22.0518293182495
E090	Long LOCKs	common PMDs	8.84801190342223
E090	Long LOCKs	common HMDs	18.1252155403612
E083	Long LOCKs	common PMDs	9.56765394452293
E083	Long LOCKs	common HMDs	18.127093474525
E104	Long LOCKs	common PMDs	6.97755817880872
E104	Long LOCKs	common HMDs	12.0923070417069
E095	Long LOCKs	common PMDs	6.45708625242837
E095	Long LOCKs	common HMDs	13.4961601882872
E105	Long LOCKs	common PMDs	7.86576708599346
E105	Long LOCKs	common HMDs	19.1583657827703
E065	Long LOCKs	common PMDs	5.13476602510714
E065	Long LOCKs	common HMDs	13.5508952804067
E078	Long LOCKs	common PMDs	10.0045646602098
E078	Long LOCKs	common HMDs	30.3029576805644
E076	Long LOCKs	common PMDs	9.17675498652953
E076	Long LOCKs	common HMDs	23.6323925651729
E103	Long LOCKs	common PMDs	8.97026194390219
E103	Long LOCKs	common HMDs	22.5370332466835
E111	Long LOCKs	common PMDs	9.26418534531318
E111	Long LOCKs	common HMDs	26.5358892847864
E092	Long LOCKs	common PMDs	9.1778961050677
E092	Long LOCKs	common HMDs	19.8545438283473
E085	Long LOCKs	common PMDs	8.63979833273947
E085	Long LOCKs	common HMDs	24.6703463310278
E084	Long LOCKs	common PMDs	8.65305212052884
E084	Long LOCKs	common HMDs	24.1205801626235
E109	Long LOCKs	common PMDs	7.97318944894744
E109	Long LOCKs	common HMDs	11.6071901144564
E106	Long LOCKs	common PMDs	7.63513344471022
E106	Long LOCKs	common HMDs	13.426137827984
E075	Long LOCKs	common PMDs	9.20750892829272
E075	Long LOCKs	common HMDs	26.8573749451075
E101	Long LOCKs	common PMDs	9.56044926582596
E101	Long LOCKs	common HMDs	20.9710563179254
E102	Long LOCKs	common PMDs	9.45976429634555
E102	Long LOCKs	common HMDs	23.0371566986573
E110	Long LOCKs	common PMDs	9.66753414297913
E110	Long LOCKs	common HMDs	26.1502820259475
E077	Long LOCKs	common PMDs	8.56593264857064
E077	Long LOCKs	common HMDs	22.7065417196941
E079	Long LOCKs	common PMDs	7.65792560802519
E079	Long LOCKs	common HMDs	15.9852392650924
E094	Long LOCKs	common PMDs	6.08172991573171
E094	Long LOCKs	common HMDs	19.0432251123405
E099	Long LOCKs	common PMDs	11.7845930210326
E099	Long LOCKs	common HMDs	20.72547015844
E086	Long LOCKs	common PMDs	9.69223394098451
E086	Long LOCKs	common HMDs	23.9061973256752
E088	Long LOCKs	common PMDs	8.6618376891742
E088	Long LOCKs	common HMDs	18.255130627938
E097	Long LOCKs	common PMDs	7.18423858893458
E097	Long LOCKs	common HMDs	18.4691503448847
E087	Long LOCKs	common PMDs	7.19803822895832
E087	Long LOCKs	common HMDs	10.7462983171045
E080	Long LOCKs	common PMDs	7.93479986885486
E080	Long LOCKs	common HMDs	16.6955294127172
E091	Long LOCKs	common PMDs	9.59547077710477
E091	Long LOCKs	common HMDs	23.7469002966575
E066	Long LOCKs	common PMDs	5.99226305845461
E066	Long LOCKs	common HMDs	14.8811229702194
E098	Long LOCKs	common PMDs	5.9251192224803
E098	Long LOCKs	common HMDs	10.1850456586489
E096	Long LOCKs	common PMDs	8.11589961909417
