sample	group	H1_DMVs	ME_DMVs	NPC_DMVs	TBL_DMVs	MSC_DMVs	LINE	LTR	SINE
E125	Typical peaks	NA	NA	NA	NA	NA	NA	11.7583107036683	NA
E051	Typical peaks	NA	NA	NA	NA	NA	NA	11.3171276093334	NA
E121	Typical peaks	NA	NA	NA	NA	NA	NA	11.0307889187954	NA
E033	Typical peaks	NA	NA	NA	NA	NA	2.93998546040692	11.0208677345728	NA
E044	Typical peaks	NA	NA	NA	NA	NA	NA	10.1048997284207	NA
E094	Typical peaks	NA	NA	NA	NA	NA	1.71778468062863	9.5748547161342	7.88679971531725
E057	Typical peaks	NA	NA	NA	NA	NA	NA	9.54990099671909	NA
E048	Typical peaks	NA	NA	NA	NA	NA	2.12623542021952	9.35236410380979	NA
E104	Typical peaks	NA	NA	NA	NA	NA	NA	7.60013578469447	NA
E082	Typical peaks	NA	NA	NA	NA	NA	NA	7.2647272381925	NA
E126	Typical peaks	NA	NA	NA	NA	NA	NA	7.25378711336311	NA
E037	Typical peaks	NA	NA	NA	NA	NA	2.4833454395508	7.11915348194331	NA
E052	Typical peaks	NA	NA	NA	NA	NA	NA	6.52993939266818	NA
E083	Typical peaks	NA	NA	NA	NA	NA	3.08290245166977	5.12684966939498	NA
E086	Typical peaks	NA	NA	NA	NA	NA	NA	5.1003514928154	NA
E038	Typical peaks	NA	NA	NA	NA	NA	NA	3.20467685072266	NA
E065	Typical peaks	NA	NA	NA	NA	NA	2.08788183429788	3.00536155219944	4.94966557612051
E040	Typical peaks	NA	NA	NA	NA	NA	NA	2.11580025189818	NA
E041	Typical peaks	NA	NA	NA	NA	NA	NA	1.86693090562924	NA
E098	Typical peaks	NA	NA	NA	NA	NA	NA	NA	13.1921070459725
E012	Typical peaks	6.7409523904195	16.1012173243214	9.15827172713043	11.5849069327177	18.6999774572404	NA	NA	NA
E124	Typical peaks	NA	NA	NA	NA	3.04606681134061	NA	NA	NA
E017	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	50
E025	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	50
E030	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	50
E061	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	50
E070	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	50
E125	Peaks in long LOCKs	NA	NA	NA	NA	NA	50	NA	50
E129	Peaks in long LOCKs	NA	NA	NA	NA	NA	49.5652558052207	NA	50
E082	Peaks in long LOCKs	NA	NA	NA	NA	NA	47.407365852007	11.3790014484777	50
E049	Peaks in long LOCKs	NA	NA	NA	NA	NA	46.2032723310329	NA	50
E055	Peaks in long LOCKs	NA	NA	NA	NA	NA	44.2079417204762	NA	50
E107	Peaks in long LOCKs	NA	NA	NA	NA	NA	40.5792911181964	NA	50
E093	Peaks in long LOCKs	NA	NA	NA	NA	NA	35.8831212955238	6.54252201343951	50
E057	Peaks in long LOCKs	NA	NA	NA	NA	NA	34.9266361228686	NA	50
E026	Peaks in long LOCKs	NA	NA	NA	NA	NA	33.0270262433494	NA	50
E084	Peaks in long LOCKs	NA	NA	NA	NA	NA	32.330524388474	NA	50
E128	Peaks in long LOCKs	NA	NA	NA	NA	NA	31.460737929619	NA	50
