gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
LINC02128	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02127	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
SALL1	Tumor-gain LOCKs	common PMDs	-0.997729869495448	NE2_KYSE510.T	KYSE510	-0.997729869495448
LINC01571	Tumor-gain LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
LINC02169	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
IRX3	Tumor-loss LOCKs	common PMDs	0.481464701475568	NE2_KYSE510.T	KYSE510	0.481464701475568
LINC02140	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
IRX6	Tumor-loss LOCKs	common PMDs	-0.642864592585329	NE2_KYSE510.T	KYSE510	-0.642864592585329
SLC6A2	Tumor-loss LOCKs	common PMDs	-0.924302647315122	NE2_KYSE510.T	KYSE510	-0.924302647315122
CES1P2	Tumor-loss LOCKs	common PMDs	-0.685657053417449	NE2_KYSE510.T	KYSE510	-0.685657053417449
CES1P1	Tumor-loss LOCKs	common PMDs	-0.923915870767387	NE2_KYSE510.T	KYSE510	-0.923915870767387
CES1	Tumor-loss LOCKs	common PMDs	0.374497910698805	NE2_KYSE510.T	KYSE510	0.374497910698805
CES5A	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
GNAO1	Tumor-loss LOCKs	common PMDs	-0.334924471198959	NE2_KYSE510.T	KYSE510	-0.334924471198959
GNAO1-AS1	Tumor-loss LOCKs	common PMDs	-0.67273659792079	NE2_KYSE510.T	KYSE510	-0.67273659792079
MIR3935	Tumor-loss LOCKs	common PMDs	-0.302641424766198	NE2_KYSE510.T	KYSE510	-0.302641424766198
HYDIN	Tumor-loss LOCKs	common PMDs	-0.98326979427283	NE2_KYSE510.T	KYSE510	-0.98326979427283
CMTR2	Tumor-loss LOCKs	common PMDs	1.00676571388597	NE2_KYSE510.T	KYSE510	1.00676571388597
CHST4	Tumor-loss LOCKs	common PMDs	-0.0341737944388392	NE2_KYSE510.T	KYSE510	-0.0341737944388392
TAT-AS1	Tumor-loss LOCKs	common PMDs	-1.00515515552036	NE2_KYSE510.T	KYSE510	-1.00515515552036
TAT	Tumor-loss LOCKs	common PMDs	-0.911159164092766	NE2_KYSE510.T	KYSE510	-0.911159164092766
ZFHX3	Shared LOCKs	common PMDs	0.0180943885921859	NE2_KYSE510.T	KYSE510	0.0180943885921859
