GeneList	EID	GO:0045109: intermediate filament organization	GO:0045104: intermediate filament cytoskeleton organization	GO:0045103: intermediate filament-based process	GO:0003002: regionalization	GO:0099601: regulation of neurotransmitter receptor activity	GO:0043269: regulation of ion transport	GO:0048704: embryonic skeletal system morphogenesis	GO:0048706: embryonic skeletal system development	GO:0030855: epithelial cell differentiation	GO:0009952: anterior/posterior pattern specification	GO:0050911: detection of chemical stimulus involved in sensory perception of smell	GO:0007608: sensory perception of smell	GO:0009593: detection of chemical stimulus	GO:0007606: sensory perception of chemical stimulus	GO:0050907: detection of chemical stimulus involved in sensory perception	GO:0051606: detection of stimulus	GO:0050906: detection of stimulus involved in sensory perception	GO:0007156: homophilic cell adhesion via plasma membrane adhesion molecules	GO:0031424: keratinization	GO:0098742: cell-cell adhesion via plasma-membrane adhesion molecules	GO:0001708: cell fate specification	GO:0048665: neuron fate specification	GO:0045165: cell fate commitment	GO:0048663: neuron fate commitment	GO:0030900: forebrain development	GO:0045664: regulation of neuron differentiation	GO:0007420: brain development	GO:0050804: modulation of chemical synaptic transmission	GO:0099177: regulation of trans-synaptic signaling	GO:0043583: ear development
Long LOCK peaks in I-PMDs	E055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	1.1	1.4	NA	NA	NA	NA
Long LOCK peaks in I-PMDs	E107	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	1.3	NA	NA	NA
Long LOCK peaks in I-PMDs	E092	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	NA
Long LOCK peaks in I-PMDs	E089	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Long LOCK peaks in I-PMDs	E091	NA	NA	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Long LOCK peaks in L-PMDs	E061	NA	NA	NA	2.2	NA	NA	NA	NA	NA	NA	7.1	6.5	5.8	5.4	6.5	6.5	8	1.8	NA	2.2	4.8	4.3	4.2	3.5	4.7	4.5	4.4	4.4	4.4	3.9
Long LOCK peaks in L-PMDs	E095	NA	NA	NA	1.8	NA	1.2	NA	NA	NA	NA	2.4	2.1	2.8	2.2	2.9	3	3.5	1.6	NA	2.9	8.7	6.7	4.6	5.3	3.4	5.5	5	5.4	5.3	2.8
Long LOCK peaks in L-PMDs	E062	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	3.2	2.9	3.5	3.1	3.9	4.5	5.2	1.1	NA	1.2	9	6.1	5.3	5.2	3.4	3.7	2.7	2.6	2.6	2.7
Long LOCK peaks in L-PMDs	E004	NA	NA	NA	2	NA	NA	NA	NA	1.2	1.1	NA	NA	NA	NA	NA	NA	NA	1.9	NA	1.8	7.9	5.5	4.9	6.4	7.5	7.3	6.4	5.5	5.5	3.2
Long LOCK peaks in L-PMDs	E038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	1.3	1.9	1.4	1.9	2.9	3	2.4	NA	2.4	6.6	6.6	5	5.3	4.6	4.8	3.4	3.9	3.9	4.7
Long LOCK peaks in L-PMDs	E106	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	2.4	2.2	3.1	2.5	3.2	3.5	3.7	2	NA	1.7	7	5	4.3	3.9	2.4	4.7	2	4.4	4.3	3.6
Long LOCK peaks in L-PMDs	E032	NA	NA	NA	1.2	NA	NA	NA	NA	NA	1.3	4.2	3.8	4.8	3.7	4.4	6.7	5.8	1.4	NA	NA	5.2	4	3.8	2.9	2	2.2	1.6	2.1	2	3.8
Long LOCK peaks in L-PMDs	E013	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA	4.7	4.3	5.4	4.5	5.4	5.8	6.3	0.99	NA	NA	3.4	2	1.4	1.5	2.5	2.1	1.8	4.5	4.4	1.1
Long LOCK peaks in L-PMDs	E104	NA	NA	NA	3.5	NA	1.5	1.2	1.6	NA	1.3	NA	NA	NA	NA	NA	NA	NA	1.1	NA	1.6	9.2	7.7	5.2	5.6	2.9	5.3	2.8	3.7	3.7	5.3
Long LOCK peaks in L-PMDs	E033	NA	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	1.3	NA	NA	NA	10	7.1	6.3	6.2	5.9	4.7	7.4	2.6	2.6	3.5
Long LOCK peaks in L-PMDs	E098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	NA	6.2	3.8	4.5	2.9	3.6	6	3.9	6.4	6.7	6.6	4.5
Long LOCK peaks in L-PMDs	E043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	2.9	3.4	2.7	3.4	3.8	4.1	1.6	NA	1.3	5.7	4.9	2.4	3.5	3	2	2	3	3	2.5
Long LOCK peaks in L-PMDs	E039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	1.5	1.1	1.5	2.6	2.8	2.2	NA	2	7	4.5	3.8	3.2	3.4	3	3.5	5.4	5.4	3.5
Long LOCK peaks in L-PMDs	E066	NA	NA	NA	NA	NA	1.6	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	NA	4.8	5.2	4	2.7	4	1.8	5.8	3.8	6.3	6.3	3.9
Long LOCK peaks in L-PMDs	E094	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	NA	6.9	3.6	3.5	2.1	2.9	5	4.2	4.8	6.4	6.4	2
Long LOCK peaks in L-PMDs	E046	NA	NA	NA	1.5	NA	NA	NA	NA	NA	1.1	2.4	2.2	1.8	1.7	2.1	2.6	2.9	1.1	NA	NA	5.3	4.6	4.3	4.3	2.5	3	2.6	3	3	3.1
Long LOCK peaks in L-PMDs	E035	NA	NA	NA	3.4	NA	NA	1.5	2.4	NA	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.9	5.5	7.1	4.8	3	4.5	4.7	1.6	1.6	3.4
Long LOCK peaks in L-PMDs	E042	NA	NA	NA	2.2	NA	NA	NA	NA	NA	1.6	2.1	1.9	2.1	1.9	2.3	3.1	3.2	NA	NA	NA	5.8	4.3	3.8	3.2	2.9	2.6	2.1	3	3	3.3
Long LOCK peaks in L-PMDs	E116	NA	NA	NA	1.8	NA	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2.8	5.2	3	4.4	2.8	4.8	3.7	5	5.4	5.4	5.7
Long LOCK peaks in L-PMDs	E065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	1.4	1.6	3.5	NA	6.4	4.5	4.5	2.9	4.4	3.5	3.1	3.6	4.9	4.9	2.9
Long LOCK peaks in L-PMDs	E113	NA	NA	NA	2	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	1.2	1.2	2	NA	1.3	7.4	5.3	3.6	3.9	3.9	6.1	4	3	3	2.6
Long LOCK peaks in L-PMDs	E079	NA	NA	NA	1.2	NA	1.3	NA	NA	NA	NA	NA	NA	1.3	NA	1.1	1.6	1.6	1.7	NA	1.5	5.8	4.4	2.7	3	3.9	6.1	3.1	3.7	3.7	3.3
Long LOCK peaks in L-PMDs	E101	NA	NA	NA	2	NA	NA	NA	NA	NA	1.4	2	1.9	1.9	1.7	2.1	2.6	2.7	1.8	NA	1.8	5	2.8	2.8	2.4	2.4	2	2.3	3.5	3.5	2.2
Long LOCK peaks in L-PMDs	E100	NA	NA	NA	1.6	NA	1.1	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7	6.2	4.1	6.2	4.7	5.5	3.5	2.9	2.9	2.7
Long LOCK peaks in L-PMDs	E122	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	3.8	3.6	4	3.8	4.4	5	5.8	NA	NA	NA	1.6	1.4	1.8	NA	2.9	1.4	1.9	2.7	2.7	2.1
Long LOCK peaks in L-PMDs	E085	NA	NA	NA	2.4	NA	NA	NA	NA	NA	1.4	NA	NA	1.4	1.1	1.4	2.2	2.1	1.4	NA	NA	6.1	3.4	4.1	3.4	3.6	4.6	3.1	2.5	2.5	2.1
Long LOCK peaks in L-PMDs	E119	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	1.8	1.6	2.4	2.2	2.5	3.2	3.3	NA	NA	NA	4.1	3.3	3.8	2.9	2.6	2.3	2.4	2.8	2.8	3.1
Long LOCK peaks in L-PMDs	E102	NA	NA	NA	1.7	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	3	NA	3.8	7.1	3.9	4.7	4	3.9	3.1	4	2.8	2.8	2.3
Long LOCK peaks in L-PMDs	E011	NA	NA	NA	1.8	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA	NA	2.1	NA	2.2	5.4	4.2	3.7	3.9	5.5	3.6	5.8	3.2	3.2	1.9
Long LOCK peaks in L-PMDs	E041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	2	2.3	1.8	2.4	3	3.3	2	NA	1.5	4.3	4.4	2.3	3	2.1	2	1.3	2.7	2.7	2
Long LOCK peaks in L-PMDs	E074	NA	NA	NA	2.2	NA	NA	NA	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	1.6	6.3	5.3	5.1	5.6	2.9	2.9	2.7	2.2	2.2	4.6
Long LOCK peaks in L-PMDs	E005	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	1.1	NA	1.4	1.2	1.6	1.5	1.9	NA	NA	NA	6.2	5.1	3	3.7	3.8	4.5	2.1	2.6	2.6	2.5
Long LOCK peaks in L-PMDs	E052	NA	NA	NA	1.5	NA	NA	NA	NA	1.1	1.2	1.6	1.5	2.2	2	2.4	3.1	3.7	NA	NA	NA	3.6	2.1	3.8	2.6	4.4	3.4	3.2	NA	NA	2.5
Long LOCK peaks in L-PMDs	E048	NA	NA	NA	1.6	NA	2.1	NA	NA	NA	1.2	NA	NA	NA	NA	NA	1.4	1.3	NA	NA	NA	5.2	4.7	3.9	4.9	3	4.1	2.6	2.1	2.1	5.2
Long LOCK peaks in L-PMDs	E047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	1.3	1.8	1.4	1.8	2.9	3.1	1.9	NA	1.6	4.3	3.9	2.4	2.5	3.3	2.2	1.8	2.7	2.7	2.2
Long LOCK peaks in L-PMDs	E097	NA	NA	NA	1.8	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	1.6	NA	2	4.1	2.5	3.4	2.3	4.5	4.1	4.8	4.3	4.3	4.1
Long LOCK peaks in L-PMDs	E036	NA	NA	NA	2	NA	NA	NA	1.3	NA	1.4	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	7.7	5.4	5.4	3.9	1.3	2.5	1.9	4.4	4.4	1.7
Long LOCK peaks in L-PMDs	E109	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	2.3	NA	2.1	7.4	4.7	4.1	4	2.1	3.7	2.1	4	4	1.9
Long LOCK peaks in L-PMDs	E121	NA	NA	NA	1.3	NA	1.1	NA	NA	NA	1.6	1.1	NA	1.7	1.3	1.7	2.6	2.8	NA	NA	1.1	4.5	2.8	3.8	2	2	4	2.1	1.9	1.9	3.1
Long LOCK peaks in L-PMDs	E034	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	3.6	3.3	3.5	3.2	3.9	4.2	4.9	NA	NA	NA	4.6	2.2	1.7	1.7	NA	NA	NA	2.6	2.6	1.3
Long LOCK peaks in L-PMDs	E030	NA	NA	NA	1.3	NA	NA	NA	NA	NA	1.3	1.1	NA	1.4	1.3	1.6	1.9	2.4	1.4	NA	1.3	4.1	2.4	2.5	1.9	3.1	2.7	3	3.2	3.2	2.4
Long LOCK peaks in L-PMDs	E045	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	1.5	1.3	1.6	1.3	1.6	2.8	2.8	1.1	NA	NA	4.4	3.6	2.1	1.9	2.9	1.7	2.5	2.8	2.8	3.4
Long LOCK peaks in L-PMDs	E087	NA	NA	NA	1.6	NA	NA	NA	1.5	NA	NA	NA	NA	1.1	NA	NA	1.5	1.5	NA	NA	NA	5.2	4.6	3	5.2	2.3	5.3	1.8	2.4	2.4	3.5
Long LOCK peaks in L-PMDs	E037	NA	NA	NA	1.4	NA	NA	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	3.9	4.3	3.9	3.9	4.1	4	3.2	3.2	4.2
Long LOCK peaks in L-PMDs	E031	NA	NA	NA	1.8	NA	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5	5.2	4.8	3.8	4.3	3.6	6.9	NA	NA	1.2
Long LOCK peaks in L-PMDs	E082	NA	NA	NA	2.2	NA	NA	NA	NA	NA	NA	3.9	3.7	4.5	4.3	4.8	4.1	4.9	NA	NA	NA	2.7	2	1.2	1.4	NA	NA	2.1	NA	NA	NA
Long LOCK peaks in L-PMDs	E050	NA	NA	NA	1.7	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	1.8	6.8	5.7	5.6	4.7	1.8	2.5	1.5	1.7	1.7	2.7
Long LOCK peaks in L-PMDs	E096	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3	NA	1.1	6.7	4.3	3.2	4	2.4	4.9	3.6	2.5	2.5	2.7
Long LOCK peaks in L-PMDs	E067	NA	NA	NA	2.8	NA	NA	NA	1.8	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	5.5	3.2	4.1	3.6	4.9	2.5	NA	NA	2.7
Long LOCK peaks in L-PMDs	E010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	3.2	4.4	3.6	4.3	4.1	4.5	NA	NA	NA	2.9	1.8	1.2	1.5	NA	NA	NA	1.4	1.4	1.4
Long LOCK peaks in L-PMDs	E093	NA	NA	NA	1.6	NA	NA	NA	NA	NA	1.5	1.2	NA	1.2	NA	1.3	1.9	2.1	NA	NA	NA	5.8	3.8	3.3	3.4	3.2	2.1	3.1	1.8	1.8	NA
Long LOCK peaks in L-PMDs	E040	NA	NA	NA	1.4	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	1.5	1.7	1.2	NA	NA	5.5	3.3	2.7	1.9	2.3	2.1	2.7	3.1	3.1	3.2
Long LOCK peaks in L-PMDs	E084	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	1.1	1	1.3	1.2	1.4	1.9	2.3	NA	NA	NA	3	1.8	2.1	1.5	3.3	3.9	3.2	2.7	2.7	1.5
Long LOCK peaks in L-PMDs	E007	NA	NA	NA	NA	NA	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8	NA	2.3	3.1	2.4	2.9	1.9	3.9	2.3	2.4	4.7	4.7	1.9
Long LOCK peaks in L-PMDs	E081	NA	NA	NA	2.6	NA	NA	NA	NA	NA	NA	3.7	3.5	3.1	3	3.4	2.7	3.5	NA	NA	NA	2.6	NA	NA	NA	1.4	2	2.3	NA	NA	2.4
Long LOCK peaks in L-PMDs	E058	NA	NA	NA	1.6	NA	NA	NA	NA	NA	1.2	NA	NA	1.2	NA	1.3	1.2	1.8	NA	NA	NA	5.3	3.6	3.8	3.6	1.9	2.1	1.3	2.1	2.1	1.8
Long LOCK peaks in L-PMDs	E077	NA	NA	NA	1.9	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	1	2.4	NA	1.8	4.5	3.5	3.3	3.5	2.2	2.1	1.7	2.8	2.8	NA
Long LOCK peaks in L-PMDs	E029	NA	NA	NA	2.9	NA	NA	NA	NA	NA	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1	2.4	4	2.2	2.1	2.8	2.2	1.7	1.7	3.8
Long LOCK peaks in L-PMDs	E071	NA	NA	NA	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.3	4.7	2.7	3.6	2.8	3.5	2.8	1.9	1.9	2.2
Long LOCK peaks in L-PMDs	E105	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	1.3	4.7	2.2	2.2	1.9	2.4	2.9	2.6	4.3	4.3	1.6
Long LOCK peaks in L-PMDs	E120	NA	NA	NA	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2.8	4.3	3.8	3.5	2.9	3.4	2.5	2.5	1.7
Long LOCK peaks in L-PMDs	E103	NA	NA	NA	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	1.5	5	2.8	2.4	2.4	3	2.1	2.6	2.4	2.4	2.8
Long LOCK peaks in L-PMDs	E026	NA	NA	NA	1.4	NA	1.5	NA	NA	1.1	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2.4	3.6	2.5	4	2.1	2.8	1.8	1.8	2.7
Long LOCK peaks in L-PMDs	E070	NA	NA	NA	1.9	NA	NA	NA	NA	NA	1.4	3.3	3.1	3.6	3.5	3.9	3.2	4	1.2	NA	NA	1.4	NA	NA	NA	NA	1.1	NA	NA	NA	1.3
Long LOCK peaks in L-PMDs	E028	NA	NA	NA	2.1	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7	3.1	3.5	2.7	2.2	4.4	1.6	2.5	2.5	1.3
Long LOCK peaks in L-PMDs	E051	NA	NA	NA	1.1	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	5.2	4.7	3.3	3.9	2	2.2	1.8	1.6	1.6	2.5
Long LOCK peaks in L-PMDs	E072	NA	NA	NA	3	NA	NA	NA	1.8	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.1	3.9	2.2	3.9	2.9	3.4	2.2	NA	NA	3.1
Long LOCK peaks in L-PMDs	E069	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2	5.2	2.4	4.2	2.9	3.2	2	1.3	1.3	2.3
Long LOCK peaks in L-PMDs	E112	NA	NA	NA	4.2	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	2.7	2.5	2.9	3.1	1.5	3.6	1.6	1.5	2.1
Long LOCK peaks in L-PMDs	E110	NA	NA	NA	2.3	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	1.4	NA	1.2	5	2.4	3.2	2.9	2.9	3.3	2.9	NA	NA	1.9
Long LOCK peaks in L-PMDs	E073	NA	NA	NA	2.4	NA	NA	NA	1.3	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7	2.8	2.1	2.3	2.1	2.7	1.6	1.3	1.3	2.4
Long LOCK peaks in L-PMDs	E086	NA	NA	NA	4.6	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3.4	3.2	3.3	1.7	1.7	1.6	NA	NA	1.5
Long LOCK peaks in L-PMDs	E044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	1.6	NA	NA	NA	3.8	4.1	2.5	3	1.6	1.6	1.4	2	2	2.5
Long LOCK peaks in L-PMDs	E075	NA	NA	NA	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	1.4	3	2.2	1.5	2	3.1	1.1	2.6	1.8	1.8	2.2
Long LOCK peaks in L-PMDs	E023	NA	NA	NA	2.1	NA	NA	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	4.3	1.8	2.2	NA	2.1	3.5	1.5	2.2	2.2	1.4
Long LOCK peaks in L-PMDs	E099	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	3.2	2.4	2.3	2.7	NA	2.3	1.4	1.4	1.5
Long LOCK peaks in L-PMDs	E068	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	4.3	2.2	2.7	1.9	NA	1.7	1.2	1.2	2.5
Long LOCK peaks in L-PMDs	E125	NA	NA	NA	1.9	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7	2.7	2.1	2.5	3.1	2	2.6	NA	NA	2.4
Long LOCK peaks in L-PMDs	E108	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6	2.5	3.1	2.4	NA	1.4	1.1	2.4	2.4	1.2
Long LOCK peaks in L-PMDs	E078	NA	NA	NA	3.1	NA	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA	2	NA	1.3	4.4	2.5	1.8	1.5	1.8	NA	1.8	1.1	1.1	NA
Long LOCK peaks in L-PMDs	E059	NA	NA	NA	2.4	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8	2.1	2.4	2.2	3.3	NA	2.3	1.3	1.3	NA
Long LOCK peaks in L-PMDs	E080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	1.7	2.9	1.8	1.5	1.5	1.8	2	1.2	2.8	2.8	1.1
Long LOCK peaks in L-PMDs	E126	NA	NA	NA	1.8	NA	NA	NA	NA	NA	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	2.3	2.2	2.5	2.7	1.4	3.2	NA	NA	1.8
Long LOCK peaks in L-PMDs	E049	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	3.7	2.3	2.9	2.3	1.8	1.9	1.4	1.1	1.1	1.6
Long LOCK peaks in L-PMDs	E012	NA	NA	NA	2.2	NA	NA	NA	NA	1.4	1.6	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	3.1	1.8	2.3	1.9	1.9	1.2	1.8	NA	NA	2
Long LOCK peaks in L-PMDs	E090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1.7	2.6	2.4	1.4	2.2	2.2	2.3	2.1	1.8	1.8	NA
Long LOCK peaks in L-PMDs	E027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	2.7	3.1	2.9	3.4	1.8	2.3	NA	NA	2
Long LOCK peaks in L-PMDs	E088	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	2.1	2.5	1.9	1.1	1.7	1.9	1.1	1.2	1.5	1.5	1.3
Long LOCK peaks in L-PMDs	E057	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9	3.6	1.6	3.3	1.7	NA	1.3	1.8	1.8	1.4
Long LOCK peaks in L-PMDs	E076	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2.7	1.7	2.6	1.8	1.6	NA	2.7	2.7	NA
Long LOCK peaks in L-PMDs	E009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	2	1.6	1.5	1.8	1.7	2.1	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	2	2	1.6
Long LOCK peaks in L-PMDs	E124	NA	NA	NA	1.9	NA	NA	NA	NA	NA	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	1.3	2.7	1.3	1.3	1.4	NA	1	1	1.6
Long LOCK peaks in L-PMDs	E111	NA	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7	2.6	2	2.4	2	1.9	1.7	NA	NA	NA
Long LOCK peaks in L-PMDs	E127	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9	1.4	1.7	1.3	1.6	1.8	1.1	1.6	1.6	2
Long LOCK peaks in L-PMDs	E063	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	3.3	1.2	2.1	NA	1.6	NA	2.8	2.7	NA
Long LOCK peaks in L-PMDs	E054	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	3.3	1.8	3.2	1.6	NA	2.4	NA	NA	1.5
Long LOCK peaks in L-PMDs	E107	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2.7	1.3	1.8	NA	NA	NA	2.8	2.8	1.4
Long LOCK peaks in L-PMDs	E092	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	2.4	1.8	2.2	1.1	1.3	NA	1.1	1.1	1.1
Long LOCK peaks in L-PMDs	E006	NA	NA	NA	1.6	NA	NA	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	NA	2.1	NA	1.9	2.6	1.6	NA	NA	1.3
Long LOCK peaks in L-PMDs	E053	NA	NA	NA	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	NA	1.3	1.5	1.5	2.1	2.1	2.1	1.9
Long LOCK peaks in L-PMDs	E129	NA	NA	NA	2	NA	NA	NA	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1.2	NA	1.8	1.1	2	NA	NA	2.5
Long LOCK peaks in L-PMDs	E025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	1.4	NA	1.4	1.3	NA	2.2	2.1	2
Long LOCK peaks in L-PMDs	E083	NA	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	NA	1.1	NA	1.9	NA	1.2	1.5	1.5	1.2
Long LOCK peaks in L-PMDs	E128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	1.4	NA	NA	NA	NA	NA	NA	NA	2.6	NA	1.2	1.8	1.8	NA
Long LOCK peaks in L-PMDs	E017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7	NA	NA	NA	2.7	NA	3.1	NA	NA	1.7
Long LOCK peaks in L-PMDs	E091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	3.8	3.8	NA
