gene_name	LOCK_group	MD_anno	mean_exp	index	TorN	mean_exp_winsorize
ODAD2	Tumor-loss LOCKs	common PMDs	-0.485775157658128	NE2_KYSE450.T	KYSE450	-0.485775157658128
TMEM72-AS1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
RSU1P2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
ANKRD30BP3	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
MIR3156-1	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
OR13A1	Tumor-loss LOCKs	common PMDs	-0.975856583175669	NE2_KYSE450.T	KYSE450	-0.975856583175669
FAM25E	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
AGAP4	Tumor-loss LOCKs	common PMDs	0.305607636177074	NE2_KYSE450.T	KYSE450	0.305607636177074
AGAP7P	Tumor-loss LOCKs	common PMDs	-0.804904975524265	NE2_KYSE450.T	KYSE450	-0.804904975524265
HNRNPA1P33	Tumor-loss LOCKs	common PMDs	0.880084261013597	NE2_KYSE450.T	KYSE450	0.880084261013597
NPY4R	Tumor-loss LOCKs	common PMDs	-0.973284608936143	NE2_KYSE450.T	KYSE450	-0.973284608936143
SHLD2P1	Tumor-loss LOCKs	common PMDs	-0.419648135532017	NE2_KYSE450.T	KYSE450	-0.419648135532017
LINC02637	Tumor-loss LOCKs	common PMDs	-0.467494454939587	NE2_KYSE450.T	KYSE450	-0.467494454939587
AGAP13P	Tumor-loss LOCKs	common PMDs	-0.267648920142476	NE2_KYSE450.T	KYSE450	-0.267648920142476
FRMPD2B	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
PTPN20	Tumor-loss LOCKs	common PMDs	0.656360654195765	NE2_KYSE450.T	KYSE450	0.656360654195765
AGAP9	Tumor-loss LOCKs	common PMDs	-0.185331815806862	NE2_KYSE450.T	KYSE450	-0.185331815806862
BMS1P2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
CTSLP2	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
LINC02675	Tumor-loss LOCKs	common PMDs	-0.999587469077771	NE2_KYSE450.T	KYSE450	-0.999587469077771
