LOCK_length	density	EID
Long LOCKs	0.064932900632446	E076
Short LOCKs	0.33882328568469	E076
Long LOCKs	0.0404655974595794	E103
Short LOCKs	0.196978905572792	E103
Long LOCKs	0.0875125302328097	E111
Short LOCKs	0.329036877909058	E111
Long LOCKs	0.191187256955561	E092
Short LOCKs	0.470498407380405	E092
Long LOCKs	0.0842756301189875	E085
Short LOCKs	0.377488634582223	E085
Long LOCKs	0.0984032913338266	E084
Short LOCKs	0.452811852001134	E084
Long LOCKs	0.0422841740000947	E109
Short LOCKs	0.198239605863975	E109
Long LOCKs	0.0290819017743705	E106
Short LOCKs	0.144564727108705	E106
Long LOCKs	0.0656472312729532	E075
Short LOCKs	0.275403225806452	E075
Long LOCKs	0.0512162588439814	E101
Short LOCKs	0.259802260991171	E101
Long LOCKs	0.0487817162741989	E102
Short LOCKs	0.311031712328791	E102
Long LOCKs	0.0813162092717161	E110
Short LOCKs	0.393481989708405	E110
Long LOCKs	0.0583604003452666	E077
Short LOCKs	0.299108258621021	E077
Long LOCKs	0.0185311384176622	E079
Short LOCKs	0.14077526877598	E079
Long LOCKs	0.00500397281921378	E094
Short LOCKs	0.0187642600698919	E094
Long LOCKs	0.0448214520091128	E099
Short LOCKs	0.502527075812274	E099
Long LOCKs	0.0424089678522714	E086
Short LOCKs	0.422760290556901	E086
Long LOCKs	0.0985890723212864	E088
Short LOCKs	0.465712581991652	E088
Long LOCKs	0.0292642293539352	E097
Short LOCKs	0.183103508360095	E097
Long LOCKs	0.0273077220725706	E087
Short LOCKs	0.134325973735502	E087
Long LOCKs	0.196519922612195	E080
Short LOCKs	0.485016648168701	E080
Long LOCKs	0.0992830664333619	E091
Short LOCKs	0.415966386554622	E091
Long LOCKs	0.0305757398273622	E066
Short LOCKs	0.168979046070881	E066
Long LOCKs	0.00441297639708356	E098
Short LOCKs	0.0153242530360191	E098
Long LOCKs	0.0271667469844887	E096
Short LOCKs	0.144356097738082	E096
Long LOCKs	0.0118394208178863	E113
Short LOCKs	0.119818086408956	E113
Long LOCKs	0.00463684275169017	E116
Short LOCKs	0.0917556436851739	E116
Long LOCKs	0.0448097622997138	E119
Short LOCKs	0.253171933591149	E119
Long LOCKs	0.037037158323209	E120
Short LOCKs	0.224144869215292	E120
Long LOCKs	0.142894107314573	E121
Short LOCKs	0.435261707988981	E121
Long LOCKs	0.0898129806109963	E122
Short LOCKs	0.466539196940727	E122
Long LOCKs	0.129703340981149	E124
Short LOCKs	0.479952283120154	E124
Long LOCKs	0.0894301855209932	E125
Short LOCKs	0.361688184022544	E125
Long LOCKs	0.0288890359003638	E126
Short LOCKs	0.302480142648728	E126
Long LOCKs	0.113559309986993	E127
Short LOCKs	0.403651978975749	E127
Long LOCKs	0.067775187089984	E128
Short LOCKs	0.373317013463892	E128
Long LOCKs	0.1385416708147	E129
Short LOCKs	0.438011789005319	E129
